,_id,Quarter,HB,HBQF,HBT,CancerType,CancerTypeQF,NumberOfEligibleReferrals62DayStandard,NumberOfEligibleReferrals62DayStandardQF,NumberOfEligibleReferralsTreatedWithin62Days,NumberOfEligibleReferralsTreatedWithin62DaysQF
179,180,2012Q1,S08000031,,SB0801,Lung,,9,,7,
180,181,2012Q1,S08000032,,S08000031,Breast,,1,,1,
181,182,2012Q1,S08000032,,S08000031,Cervical,,5,,5,
182,183,2012Q1,S08000032,,S08000031,Colorectal,,6,,4,
183,184,2012Q1,S08000032,,S08000031,Head & Neck,,1,,1,
184,185,2012Q1,S08000032,,S08000031,Lung,,22,,21,
185,186,2012Q1,S08000032,,S08000031,Melanoma,,3,,3,
186,187,2012Q1,S08000032,,S08000031,Ovarian,,4,,4,
187,188,2012Q1,S08000032,,S08000031,Upper GI,,5,,5,
188,189,2012Q1,S08000032,,S08000031,Urological,,2,,2,
189,190,2012Q1,S08000032,,S08000032,Breast,,52,,52,
190,191,2012Q1,S08000032,,S08000032,Cervical,,3,,2,
191,192,2012Q1,S08000032,,S08000032,Colorectal,,44,,43,
192,193,2012Q1,S08000032,,S08000032,Head & Neck,,4,,4,
193,194,2012Q1,S08000032,,S08000032,Lung,,32,,32,
194,195,2012Q1,S08000032,,S08000032,Lymphoma,,4,,4,
195,196,2012Q1,S08000032,,S08000032,Melanoma,,13,,13,
196,197,2012Q1,S08000032,,S08000032,Ovarian,,2,,2,
197,198,2012Q1,S08000032,,S08000032,Upper GI,,23,,22,
198,199,2012Q1,S08000032,,S08000032,Urological,,41,,38,
199,200,2012Q1,S08000032,,SB0801,Lung,,9,,9,
200,201,2012Q2,S08000015,,S08000015,Breast,,70,,70,
201,202,2012Q2,S08000015,,S08000015,Cervical,,3,,3,
202,203,2012Q2,S08000015,,S08000015,Colorectal,,32,,30,
203,204,2012Q2,S08000015,,S08000015,Head & Neck,,4,,4,
204,205,2012Q2,S08000015,,S08000015,Lung,,41,,40,
205,206,2012Q2,S08000015,,S08000015,Lymphoma,,5,,5,
206,207,2012Q2,S08000015,,S08000015,Ovarian,,7,,7,
207,208,2012Q2,S08000015,,S08000015,Upper GI,,22,,21,
208,209,2012Q2,S08000015,,S08000015,Urological,,19,,17,
209,210,2012Q2,S08000015,,S08000031,Cervical,,1,,1,
210,211,2012Q2,S08000015,,S08000031,Colorectal,,3,,2,
211,212,2012Q2,S08000015,,S08000031,Head & Neck,,1,,0,
212,213,2012Q2,S08000015,,S08000031,Lung,,9,,9,
213,214,2012Q2,S08000015,,S08000031,Upper GI,,8,,6,
214,215,2012Q2,S08000015,,SB0801,Lung,,2,,2,
215,216,2012Q2,S08000016,,S08000016,Breast,,10,,10,
216,217,2012Q2,S08000016,,S08000016,Cervical,,1,,1,
217,218,2012Q2,S08000016,,S08000016,Colorectal,,12,,12,
218,219,2012Q2,S08000016,,S08000016,Head & Neck,,1,,1,
219,220,2012Q2,S08000016,,S08000016,Lung,,8,,8,
220,221,2012Q2,S08000016,,S08000016,Lymphoma,,3,,3,
221,222,2012Q2,S08000016,,S08000016,Melanoma,,6,,6,
222,223,2012Q2,S08000016,,S08000016,Ovarian,,3,,3,
223,224,2012Q2,S08000016,,S08000016,Upper GI,,7,,7,
224,225,2012Q2,S08000016,,S08000016,Urological,,15,,15,
225,226,2012Q2,S08000016,,S08000024,Head & Neck,,2,,1,
226,227,2012Q2,S08000016,,S08000024,Ovarian,,1,,1,
227,228,2012Q2,S08000016,,S08000024,Upper GI,,2,,2,
228,229,2012Q2,S08000016,,S08000024,Urological,,3,,3,
229,230,2012Q2,S08000017,,S08000017,Breast,,11,,11,
230,231,2012Q2,S08000017,,S08000017,Colorectal,,18,,18,
231,232,2012Q2,S08000017,,S08000017,Head & Neck,,1,,1,
232,233,2012Q2,S08000017,,S08000017,Lung,,19,,19,
233,234,2012Q2,S08000017,,S08000017,Lymphoma,,3,,3,
234,235,2012Q2,S08000017,,S08000017,Melanoma,,3,,3,
235,236,2012Q2,S08000017,,S08000017,Ovarian,,1,,1,
236,237,2012Q2,S08000017,,S08000017,Upper GI,,6,,6,
237,238,2012Q2,S08000017,,S08000017,Urological,,10,,9,
238,239,2012Q2,S08000017,,S08000024,Cervical,,1,,0,
239,240,2012Q2,S08000017,,S08000024,Colorectal,,1,,1,
240,241,2012Q2,S08000017,,S08000024,Head & Neck,,2,,2,
241,242,2012Q2,S08000017,,S08000024,Lung,,6,,6,
242,243,2012Q2,S08000017,,S08000024,Urological,,4,,2,
243,244,2012Q2,S08000017,,S08000031,Head & Neck,,1,,1,
244,245,2012Q2,S08000017,,SB0801,Lung,,1,,1,
245,246,2012Q2,S08000019,,S08000019,Breast,,46,,43,
246,247,2012Q2,S08000019,,S08000019,Cervical,,1,,1,
247,248,2012Q2,S08000019,,S08000019,Colorectal,,35,,32,
248,249,2012Q2,S08000019,,S08000019,Head & Neck,,4,,4,
249,250,2012Q2,S08000019,,S08000019,Lung,,20,,20,
250,251,2012Q2,S08000019,,S08000019,Lymphoma,,5,,5,
251,252,2012Q2,S08000019,,S08000019,Melanoma,,6,,5,
252,253,2012Q2,S08000019,,S08000019,Ovarian,,1,,1,
253,254,2012Q2,S08000019,,S08000019,Upper GI,,17,,17,
254,255,2012Q2,S08000019,,S08000019,Urological,,32,,29,
255,256,2012Q2,S08000019,,S08000031,Breast,,1,,1,
256,257,2012Q2,S08000019,,S08000031,Colorectal,,3,,2,
257,258,2012Q2,S08000019,,S08000031,Head & Neck,,7,,6,
258,259,2012Q2,S08000019,,S08000031,Lung,,9,,8,
259,260,2012Q2,S08000019,,S08000031,Ovarian,,3,,3,
260,261,2012Q2,S08000019,,S08000031,Upper GI,,4,,2,
261,262,2012Q2,S08000019,,S08000031,Urological,,3,,2,
262,263,2012Q2,S08000019,,SB0801,Lung,,6,,6,
263,264,2012Q2,S08000020,,S08000020,Breast,,79,,79,
264,265,2012Q2,S08000020,,S08000020,Cervical,,7,,7,
265,266,2012Q2,S08000020,,S08000020,Colorectal,,71,,62,
266,267,2012Q2,S08000020,,S08000020,Head & Neck,,7,,6,
267,268,2012Q2,S08000020,,S08000020,Lung,,54,,54,
268,269,2012Q2,S08000020,,S08000020,Lymphoma,,18,,14,
269,270,2012Q2,S08000020,,S08000020,Melanoma,,9,,9,
270,271,2012Q2,S08000020,,S08000020,Ovarian,,7,,6,
271,272,2012Q2,S08000020,,S08000020,Upper GI,,30,,30,
272,273,2012Q2,S08000020,,S08000020,Urological,,39,,39,
273,274,2012Q2,S08000020,,S08000024,Urological,,1,,0,
274,275,2012Q2,S08000020,,S08000025,Breast,,1,,1,
275,276,2012Q2,S08000022,,S08000020,Lung,,2,,2,
276,277,2012Q2,S08000022,,S08000022,Breast,,41,,41,
277,278,2012Q2,S08000022,,S08000022,Cervical,,2,,2,
278,279,2012Q2,S08000022,,S08000022,Colorectal,,27,,25,
279,280,2012Q2,S08000022,,S08000022,Head & Neck,,4,,4,
280,281,2012Q2,S08000022,,S08000022,Lung,,33,,33,
281,282,2012Q2,S08000022,,S08000022,Lymphoma,,8,,8,
282,283,2012Q2,S08000022,,S08000022,Melanoma,,3,,3,
283,284,2012Q2,S08000022,,S08000022,Ovarian,,4,,4,
284,285,2012Q2,S08000022,,S08000022,Upper GI,,14,,14,
285,286,2012Q2,S08000022,,S08000022,Urological,,17,,15,
286,287,2012Q2,S08000022,,S08000024,Lung,,1,,1,
287,288,2012Q2,S08000022,,S08000031,Colorectal,,1,,1,
288,289,2012Q2,S08000022,,S08000031,Head & Neck,,1,,1,
289,290,2012Q2,S08000022,,S08000031,Lung,,1,,1,
290,291,2012Q2,S08000022,,S08000031,Ovarian,,1,,1,
291,292,2012Q2,S08000022,,SB0801,Lung,,1,,0,
292,293,2012Q2,S08000024,,S08000016,Breast,,1,,1,
293,294,2012Q2,S08000024,,S08000019,Breast,,4,,4,
294,295,2012Q2,S08000024,,S08000024,Breast,,160,,160,
295,296,2012Q2,S08000024,,S08000024,Cervical,,2,,1,
296,297,2012Q2,S08000024,,S08000024,Colorectal,,102,,88,
297,298,2012Q2,S08000024,,S08000024,Head & Neck,,22,,20,
298,299,2012Q2,S08000024,,S08000024,Lung,,88,,80,
299,300,2012Q2,S08000024,,S08000024,Lymphoma,,19,,19,
300,301,2012Q2,S08000024,,S08000024,Melanoma,,25,,25,
301,302,2012Q2,S08000024,,S08000024,Ovarian,,19,,19,
302,303,2012Q2,S08000024,,S08000024,Upper GI,,56,,55,
303,304,2012Q2,S08000024,,S08000024,Urological,,66,,56,
304,305,2012Q2,S08000024,,S08000029,Breast,,1,,1,
305,306,2012Q2,S08000025,,S08000020,Breast,,1,,1,
306,307,2012Q2,S08000025,,S08000020,Colorectal,,1,,0,
307,308,2012Q2,S08000025,,S08000020,Lymphoma,,2,,2,
308,309,2012Q2,S08000025,,S08000025,Upper GI,,2,,2,
309,310,2012Q2,S08000026,,S08000020,Ovarian,,1,,1,
310,311,2012Q2,S08000026,,S08000020,Urological,,1,,1,
311,312,2012Q2,S08000026,,S08000026,Breast,,1,,1,
312,313,2012Q2,S08000026,,S08000026,Lymphoma,,1,,1,
313,314,2012Q2,S08000026,,S08000026,Melanoma,,1,,1,
314,315,2012Q2,S08000026,,S08000026,Urological,,3,,3,
315,316,2012Q2,S08000028,,S08000022,Colorectal,,2,,2,
316,317,2012Q2,S08000028,,S08000022,Lung,,1,,1,
317,318,2012Q2,S08000028,,S08000022,Upper GI,,3,,3,
318,319,2012Q2,S08000028,,S08000022,Urological,,3,,3,
319,320,2012Q2,S08000028,,S08000028,Colorectal,,4,,4,
320,321,2012Q2,S08000028,,S08000028,Head & Neck,,1,,1,
321,322,2012Q2,S08000028,,S08000028,Lung,,1,,1,
322,323,2012Q2,S08000028,,S08000028,Ovarian,,1,,1,
323,324,2012Q2,S08000028,,S08000031,Colorectal,,1,,1,
324,325,2012Q2,S08000028,,S08000031,Lung,,1,,1,
325,326,2012Q2,S08000029,,S08000019,Urological,,1,,1,
326,327,2012Q2,S08000029,,S08000024,Cervical,,1,,1,
327,328,2012Q2,S08000029,,S08000024,Colorectal,,1,,1,
328,329,2012Q2,S08000029,,S08000024,Head & Neck,,7,,6,
329,330,2012Q2,S08000029,,S08000024,Lung,,15,,11,
330,331,2012Q2,S08000029,,S08000024,Ovarian,,2,,2,
331,332,2012Q2,S08000029,,S08000024,Upper GI,,8,,8,
332,333,2012Q2,S08000029,,S08000024,Urological,,3,,2,
333,334,2012Q2,S08000029,,S08000029,Breast,,22,,22,
334,335,2012Q2,S08000029,,S08000029,Colorectal,,25,,20,
335,336,2012Q2,S08000029,,S08000029,Head & Neck,,1,,1,
336,337,2012Q2,S08000029,,S08000029,Lung,,29,,28,
337,338,2012Q2,S08000029,,S08000029,Lymphoma,,3,,3,
338,339,2012Q2,S08000029,,S08000029,Melanoma,,3,,3,
339,340,2012Q2,S08000029,,S08000029,Ovarian,,2,,2,
340,341,2012Q2,S08000029,,S08000029,Upper GI,,15,,15,
341,342,2012Q2,S08000029,,S08000029,Urological,,25,,23,
342,343,2012Q2,S08000029,,S08000030,Lung,,1,,1,
343,344,2012Q2,S08000030,,S08000024,Lung,,4,,2,
344,345,2012Q2,S08000030,,S08000030,Breast,,69,,69,
345,346,2012Q2,S08000030,,S08000030,Cervical,,2,,2,
346,347,2012Q2,S08000030,,S08000030,Colorectal,,29,,25,
347,348,2012Q2,S08000030,,S08000030,Head & Neck,,7,,7,
348,349,2012Q2,S08000030,,S08000030,Lung,,44,,44,
349,350,2012Q2,S08000030,,S08000030,Lymphoma,,1,,1,
350,351,2012Q2,S08000030,,S08000030,Melanoma,,7,,7,
351,352,2012Q2,S08000030,,S08000030,Ovarian,,4,,4,
352,353,2012Q2,S08000030,,S08000030,Upper GI,,28,,28,
353,354,2012Q2,S08000030,,S08000030,Urological,,29,,26,
354,355,2012Q2,S08000031,,S08000022,Colorectal,,2,,2,
355,356,2012Q2,S08000031,,S08000024,Upper GI,,3,,2,
356,357,2012Q2,S08000031,,S08000031,Breast,,227,,226,
357,358,2012Q2,S08000031,,S08000031,Cervical,,1,,1,
358,359,2012Q2,S08000031,,S08000031,Colorectal,,101,,91,
359,360,2012Q2,S08000031,,S08000031,Head & Neck,,36,,36,
360,361,2012Q2,S08000031,,S08000031,Lung,,145,,142,
361,362,2012Q2,S08000031,,S08000031,Lymphoma,,16,,16,
362,363,2012Q2,S08000031,,S08000031,Melanoma,,41,,40,
363,364,2012Q2,S08000031,,S08000031,Ovarian,,5,,5,
364,365,2012Q2,S08000031,,S08000031,Upper GI,,67,,65,
365,366,2012Q2,S08000031,,S08000031,Urological,,105,,99,
366,367,2012Q2,S08000031,,S08000032,Breast,,8,,8,
367,368,2012Q2,S08000031,,SB0801,Lung,,19,,15,
368,369,2012Q2,S08000031,,SB0801,Urological,,1,,1,
369,370,2012Q2,S08000032,,S08000031,Cervical,,3,,3,
370,371,2012Q2,S08000032,,S08000031,Colorectal,,5,,4,
371,372,2012Q2,S08000032,,S08000031,Head & Neck,,4,,4,
372,373,2012Q2,S08000032,,S08000031,Lung,,16,,16,
373,374,2012Q2,S08000032,,S08000031,Melanoma,,5,,4,
374,375,2012Q2,S08000032,,S08000031,Ovarian,,3,,3,
375,376,2012Q2,S08000032,,S08000031,Upper GI,,6,,6,
376,377,2012Q2,S08000032,,S08000031,Urological,,1,,1,
377,378,2012Q2,S08000032,,S08000032,Breast,,58,,58,
378,379,2012Q2,S08000032,,S08000032,Cervical,,1,,1,
379,380,2012Q2,S08000032,,S08000032,Colorectal,,48,,44,
380,381,2012Q2,S08000032,,S08000032,Head & Neck,,10,,10,
381,382,2012Q2,S08000032,,S08000032,Lung,,50,,50,
382,383,2012Q2,S08000032,,S08000032,Lymphoma,,8,,8,
383,384,2012Q2,S08000032,,S08000032,Melanoma,,10,,10,
384,385,2012Q2,S08000032,,S08000032,Ovarian,,1,,1,
385,386,2012Q2,S08000032,,S08000032,Upper GI,,24,,24,
386,387,2012Q2,S08000032,,S08000032,Urological,,31,,29,
387,388,2012Q2,S08000032,,SB0801,Lung,,8,,8,
388,389,2012Q3,S08000015,,S08000015,Breast,,79,,79,
389,390,2012Q3,S08000015,,S08000015,Cervical,,5,,4,
390,391,2012Q3,S08000015,,S08000015,Colorectal,,26,,22,
391,392,2012Q3,S08000015,,S08000015,Head & Neck,,3,,3,
392,393,2012Q3,S08000015,,S08000015,Lung,,33,,33,
393,394,2012Q3,S08000015,,S08000015,Lymphoma,,5,,5,
394,395,2012Q3,S08000015,,S08000015,Melanoma,,7,,7,
395,396,2012Q3,S08000015,,S08000015,Ovarian,,6,,6,
396,397,2012Q3,S08000015,,S08000015,Upper GI,,17,,17,
397,398,2012Q3,S08000015,,S08000015,Urological,,20,,19,
398,399,2012Q3,S08000015,,S08000017,Breast,,2,,2,
399,400,2012Q3,S08000015,,S08000031,Breast,,1,,1,
400,401,2012Q3,S08000015,,S08000031,Colorectal,,3,,2,
401,402,2012Q3,S08000015,,S08000031,Head & Neck,,3,,2,
402,403,2012Q3,S08000015,,S08000031,Lung,,14,,14,
403,404,2012Q3,S08000015,,S08000031,Melanoma,,1,,1,
404,405,2012Q3,S08000015,,S08000031,Ovarian,,6,,6,
405,406,2012Q3,S08000015,,S08000031,Upper GI,,5,,4,
406,407,2012Q3,S08000015,,S08000031,Urological,,1,,1,
407,408,2012Q3,S08000015,,SB0801,Lung,,2,,1,
408,409,2012Q3,S08000016,,S08000016,Breast,,11,,11,
409,410,2012Q3,S08000016,,S08000016,Colorectal,,12,,12,
410,411,2012Q3,S08000016,,S08000016,Head & Neck,,2,,2,
411,412,2012Q3,S08000016,,S08000016,Lung,,8,,8,
